ngoid,state,district,ngoname,orgemail,physicaladdress,officephone,orgtype,chairmanname
227, Maharashtra ,Jalgaon,Utkarsh Matimand Vidyalay Jalgaon Unit Of Institute for Rural Development Social Services Jalgaon,irdss_jal@rediffmail.com,"28/29, Jivram Nagar,, Near Khote Nagar,Nr. N.H. - 6, Jalgaon - 425001", 9421-514907 ,,Dr. Suresh Shamrao Patil
228, Maharashtra ,Mumbai Suburban,Sopan Samarpan Center Of Autism,snacmah@gmail.com,"1St Floor, Bmc School Building, Natwar Nagarroad No.5, Jogeshwari(E),, Mumbai - 400060", 9702-871969 ,"Disha,Vikaas,Badhte Kadam Niramaya",Shoba Srivastava
229, Maharashtra ,Kolhapur,Chetana Vikas Mandir - A Unit Of Chetana Apangamati Vikas Sanstha,chetanavikas@gmail.com,"Kushtadham,, Shenda Parknear Govt.Medical College, Kolhapur - 416012", 9822-682028 , Niramaya,Pawan D. Khebudkar
230, Maharashtra ,Mumbai Suburban,Punarvas Education Society,punarvasschool@gmail.com,"Plot No 312, S.V Road, Goregaon Westopp Piramal Nagar, Next To Nana Nani Park, Mumbai Suburban - 400104", 9833-927519 ,,Mrs.Savita Jawale
231, Maharashtra ,Thane,Snehalaya Charitable Trust,snehalaya2007@rediffmail.com,"22/5A, Pareira Nagar Chs Ltd., Khopatbehind Lifeline Hospital, Thane - 400601", 9869-547241 , Niramaya,Mrs. Olivia W. Dï¿½Souza
232, Maharashtra ,Latur,Umang Institute Of Autism and Multidisability Research Centre Latur run by Siddhivinayak Pratisthan,siddhi22305@gmial.com,"Umang Institute Of Autism And Multidisability Reserach Centre, Barshi Road,Back Side Of New Collector Office, Latur, Latur - 413512", 9921-696056 ,,Kiran Ramesh Utage
233, Maharashtra ,Parbhani,Mahatma Gandhi Seva Sangh,mahatmagandhisevasangh@gmail.com,"9, Rakhan, Jintur Roadviswa Corner, Parbhani - 431401", 9158-715200 ,,Vijay Kanhekar
234, Maharashtra ,Washim,Adhar Niwasi Matimand Vidyalaya run by Jagruti Shetkari Bahuddeshiya Mitramand Kawatha,jagrutikwatha@gmail.com,"At. Post. Kawatha, Tq. Risod, Risod - 444506", 9028-735560 ,,Geeta Kishor Payghan
235, Maharashtra ,Pune,Saad - Support All Abled Differently,saad.pathpune@gmail.com,"Flat No 14, Pooja Apartment,, Pandurang Colonyerandawane , Pune, Pune - 411038", 9822-028015 , Niramaya,Sunita Lele
236, Maharashtra ,Dhule,Kai. Bapuso N Z Marathe Vidhayak Sanstha Thalner Sanchalit Matimand Mula Mulinche Balgruh Shirpur,nzmarathevidhayaksanstha@gmail.com,"Sarve No. 21/1,22/1,, Shirpur Chopda Road,Near Water Park,, Shirpur - 425405", 9921-590146 ,,Mr. Ramesh Nimba Marathe
237, Maharashtra ,Amravati,Prayas Vishesh Shala run by Manovikas Special Children Education Society Amravati,umedamt@yahoo.com,"Prayas Vishesh Shala, Kranti Colony Road,Saturna Midcnear Dilhi Public School, Amravati - 444607", 9823-688493 , Niramaya,Mr.Vinayak Kolbaji Kadu
238, Maharashtra ,Satara,Smt.p.c. Alwani School for M.R. Children A Unit Of Rivka Sahil Akshar Institute,rsakshar09@gmail.com,"401, Ganpati Alinear Telephone Office, Wai - 412803", 9763-878738 ,Vikaas,Dr. Avinash Tapare
239, Maharashtra ,Satara,Param Prasad Charitable Society,ashagram@hotmail.com,"217//2B, Asha Bhavankodoli, Rahimatpur Road, Satara - 415004", 9421-413314 , Niramaya,Fr.T.C.Thomas
240, Maharashtra ,Thane,Mba Foundation,lifecare.disabled@gmail.com,"Gods Abode, Plot No-23 A, Sector -17, Airolinear Abhudaya Bank, Navi Mumbai - 400708", 9594-100387 , Niramaya,Meenakshi B
241, Maharashtra ,Thane,"Swami Brahmanand Pratishthan, Centre for Special Children",shirishv12@gmail.com,"Nav-Shanti, Plot No. 7, Sector 8A, Disha School Marg, Artist Villagenear Kairali Hall , Cbd Belapur, Navi Mumbai - 400614", 9820-670733 ,,Mrs. Shirish Vijay Poojary
242, Maharashtra ,Mumbai City,Jai Vakeel Foundation Research Centre.,snacmaharashtra@gmail.com,"Sewri Hill, Abhyudaya Nagar Chs, Kalachaowki, Sewri Roadnear Milan Industrial Estate, Sewri - 400033", 9321-330311 ,Badhte Kadam,Ms. Archana Chandra
243, Maharashtra ,Mumbai City,Cerebral Palsy Association Of India,hhw.multiplehandicapped@gmail.com,"Windsor Bmc Library Building, Windsor Lane, Cst Road, Kalina, Santacruz (East),Opposite Jp Morgan, Mumbai - 400098", 9029-882662 ,,Manjusha Singh
244, Maharashtra ,Nagpur,Rashtramata Bahu Uddeshiya Shikshan Mandals Running Special Schools for Person With Disability,ank2you@gmail.com,"S-1 Krishna Regency, Sampriti Nagarnear Power Grid, Nagpur - 440026", 7385-114111 ,,Sanket Raj Kaspe
245, Maharashtra ,Raigad,Sumangal School for Mentally Challenged Children run by Suhit Jeevan Trust,suhitjeevantrust@gmail.com,"Suhit Jeevan Trust, Damodar Nagar,, Chinchpada, Pendr. Mahajans Hospital, Pen - 402107", 9892-191918 ,,Dr. Surekha Patil
246, Maharashtra ,Kolhapur,Lt. Ganpatrao Gatade Special School run by Kagal Taluka Kala Krida Shaikshanik Sanskrutik Mandal,atulramchandrajoshi@gmail.com,"153, Koshti Gallishraddha Nivas, A Ward, Kagal - 416216", 9822-009596 ,,Atul Ramchandra Josh
247, Maharashtra ,Mumbai Suburban,Organization for Autistic Individuals,itsoai2012@gmail.com,"Flat No A 805 By 806 Meghdoot Bldg, Lokhandwala Back Roadopposite Jogging Track, Andheri West Mumbai - 400053", 9820-180198 ,,Devopam Narendra Bajpai
248, Maharashtra ,Ahmednagar,Matimand Vikas Shikshan Mandal,matishala@rediffmail.com,"Wadia Park, Tilak Roadahmednagar, Ahmednagar - 414001", 9850-901709 ,,Dr.Ravindra Ramchandra Satalkar
249, Maharashtra ,Aurangabad,Vihang Vishesh Mulanchi Shala run by Savitribai Phule Mahila Ekatma Samaj Mandal,vihang611@gmail.com,"Gat No-44, Uma Gopal Nagarnear Kamal Nayan Bajaj Hospital, Beed Bypass, Aurangabd - 431010", 9921-750424 ,,Dr. Vitthal M. Kulkarni
250, Maharashtra ,Mumbai Suburban,Holistic Child Care Centre and Special School run by M.B. Barvalia Foundation,spandan.office@gmail.com,"Spandan Holistic Mother And Childcare Hospital,, Near Deonar Fire Brigade, Municipal Colonynear Sai Baba Temple, Deonar,Govandi, Mumbai - 400043", 9324-404197 ,"Disha,Disha,Gharaunda,Gharaunda,Gharaunda,Disha,Disha",Dr Praful Barvalia
251, Maharashtra ,Pune,Kamayani Prashikshan and Sanshodhan Society Kamayani School for the Mentally Handicapped Pune,kamayaniudyogkendrapune16@gmail.com,"270 / B Gokhalenagar Pune, Balshatri Jambhekar Roadnear Patrakar Nagar Society Opp Baramati Hostel, Pune - 411016", 2025-651588 ,,Dr Ashutosh Bhupatkar
252, Maharashtra ,Thane,Association Of Parents Of Mentally Retarded Children,vishwasgore1960@hotmail.com,"5A/14, Pareira Nagar, Khopat, Agra Roadbehind Central Bus Stand, Thane, Thane - 400601", 9821-054369 ,,Mr. Vishwas M. Gore
253, Maharashtra ,Osmanabad,"Tuljai Pratishthan Bahuuddeshiya Sansta Pangaon, Sanchalit Swaadhar Matimand Mulinche Balgruh ,Osman",chavansn5@gmail.com,"Tuljai Pratishthan, Swadhar Home For Mentally Challenged Girlsair Port Road Near Gapat Farm Alani Tq Dist Osmanabad, Osmanabad - 413501", 9423-767524 ,,Shahaji Narayan Chavan
254, Maharashtra ,Nagpur,Jeevoday Special School for Mentally Retarded A Unit Of Jeevoday Education Society,jeevodaynagpur@ymail.com,"25/B, Residancy Roadsfs School, Nagpur - 440001", 9890-279110 , Niramaya,Sr Josna Mary
255, Maharashtra ,Dhule,"Shri Sanskar Matimand Mulinche Balgruh (Yamunai Shaikshanik V Sanskrutik Mahila Mandal,Dhule)",yamunaidhule@gmail.com,"Gat No 9, Sakri Roadbalaji Nagar, Morane Pra La,, Dhule - 424001", 8698-608777 ,,Mangalabai Sunil Wagh
256, Maharashtra ,Satara,Ehsaas Matimand Mulanche Balgruh run by Chandrakant Bhanji Chande Memorial Trust,ehsaasmrchild@rediffmail.com,"At/P Valse Tal/Dist Satara, Nh4 Mega Highwaynear Ajinkyatara Sugar Factory, Shendre, Satara - 415519", 9823-773901 , Niramaya,Siddharth Arvind Thakkar
257, Maharashtra ,Pune,Umed Pariwar,info@umedpariwar.org,"Gat No. 949, Hadapsar Saswad Roadkanifnath Paytha, Wadki, Wadki Village - 412308", 9890-092958 ,,Purushottam Gopilal Sharma
258, Maharashtra ,Mumbai Suburban,Parivaar Sahyadri the Apex Council Of Parents Of Persons With Intellectual and Developmental Disabilities,parivaarsahyadri@gmail.com,"A 301 Shivashish, S V Road Andheri Westopp Shoppers Stop, Mumbai - 400058", 9920-447481 , Niramaya,Prakash Bhalgat
259, Maharashtra ,Nashik,"National Association for the Blind, Unit Maharashtra",nabdeafblind.86@rediffmail.com,"National Association For The Blind, Unit Maharashtra, Nab Sankul, Plot No. P-66,Lane No.3, Street A, Midc, Satpur, Nashik - 422007", 8975-725562 , Niramaya,Mr. Rameshwar Kalantri
260, Maharashtra ,Ratnagiri,Aavishkar Society for Dev Of Mentally Handicaped Children,aavishkar.ratnagiri@gmail.com,"E-95, M.I.D.C.Mirjole, Ratnagiri - 415639", 9422-430893 ,,Shri. Bipin Rasikalal Shaha
261, Maharashtra ,Latur,Sanvedana Cerebral Palsy Vikasan Kendra run by Rss Janakalyan Samiti,sanvedana.cpvkl@gmail.com,"Sanvedana Cerebral Palsy Vikasan Kendra, Lakshmi Nagar, Barad Vastiharangul Bk Tq.Dist Latur, Latur - 413531", 9422-072517 ,Gharaunda Niramaya,Mr Suresh Manoharrao Patil
262, Maharashtra ,Thane,Astitva Matimand Mulanchi Shala run by Astitva Prahladrai Kagazi Institute for Hanidcapped,astitvatrust81@gmail.com,"Plot No8 Phase 1, Midcnear Lic Office, Dombivli - 421203", 9820-043631 ,,Radhika Milind Gupte
263, Maharashtra ,Latur,Shri Gajanan Bahuddeshiy Sanstha Bori Sanchalit . Sant Gadgebaba Anath Matimand Mulanche Balgruha,sgbammblatur@gmail.com,"Sant Gadgebaba Anath Matimand Mulanche Balgruha, Latur, In Front Of Avishkar Society, Babhalgaon Roadnear Kazi Petrol Pump, Latur - 413512", 9422-342731 ,,Shila Annasaheb Kadam
264, Maharashtra ,Ahmednagar,Matimand Mulanche Balgruha run by Navoday Gramin Nagari Vikas Prati. and Sancrutik Mandal Pathardi,navodaypathardi@gmail.com,"Survey No. 104/3 And 104/4, Mohari Roadnear Stone Crusher, Pathardi - 414102", 9850-652929 ,,Smt. Anita Ashok Nirhali
265, Manipur ,Imphal West,Handicapped Development Foundation,hdfoundationmanipur@gmail.com,"57, Sagolband Tera Pukhri Mapalimphal West, Imphal - 795001", 9612-157246 ,Disha Niramaya,Dr. Sapam Jasowanta Singh
266, Manipur ,Imphal West,Relief Centre for the Welfare Of Differently Abled Persons Manipur,reliefcentremanipur@gmail.com,"32, Singjamei Chingamathak Pishumnear Hao Ground, Imphal - 795008", 9862-275037 ,Badhte Kadam,Ch Lokeshori Devi
267, Manipur ,Churachandpur,The Malsawm Initiative run by Centre for Community Initiative,pauzagin@communityinitiative.in,"Nehru Marg, Central Lamkaopp Chingkangpa Avenue, Churachandpur - 795128", 9612-153082 ,Disha,Mr Pauzagin Tonsing
268, Manipur ,Imphal East,Bliss Island School run by People Advanced In Social Services (Pass),pass.imp@rediffmail.com,"2Nd Street, Phaikhothang Village, Near Khuga Dam,Saikot Sub Division, Churachandpur, Churachandpur - 795006", 9862-133392 ,"Badhte Kadam,Samarth,Disha,Gharaunda Niramaya",Henthianlun
269, Meghalaya ,East Khasi Hills,Bethany Society,bethanyngo1981@gmail.com,"Bethany Society, Lady Veronica Lane Laitumkhrahopposite Bansara Eye Care, Shillong - 793003", 9436-119808 ,Disha Niramaya,Carmo Noronha
270, Odisha ,Khordha,Dr. Braja Vihari Mohanty Memorial Mentally Retarded Benefit Trust,jagrutibbsr@gmail.com,"Plot No 430 Part, , Santinagar, Jharapara,Near Ganesh Mandir, Orissa - 751006", 9437-075921 ,Gharaunda,Baikuntha Bihari Mohanty
271, Odisha ,Puri,Pingalakhi Public Welfare Organisation,pingalakhi@gmail.com,"At-Jayashree Square, Po-Nimaparanear Bank Of India, Nimapara - 752106", 9438-090331 , Niramaya,Rajkishor Sabut
272, Odisha ,Puri,Nilachal Seva Pratisthan,nspodisha@gmail.com,"Benagaon, Dayavihar, Kanasbesides River Daya, Kanas - 752017", 9438-018582 ,"Gharaunda,Samarth",Subas Chandra Gajendra
273, Odisha ,Dhenkanal,Participatory and Reconstruction Institute Action,priajaj@gmail.com,"At/Po-Laulai,Via-Gondia, Laulai Gondianear Tank, Dhenkanal - 759016", 9937-300982 , Niramaya,Tankadhar Barik
274, Odisha ,Bhadrak,Centre for Rehabilitation Services Research Crsr,crsrodisha@gmail.com,"Prasanti Bhawan, Dahanigadia, Po: Charampaback Side Of Old Dalda Factory, Bhadrak - 756101", 9692-165555 ,"Samarth,Gharaunda,Vikaas,Sahyogi,Badhte Kadam",Er. Bhagaban Parida
275, Odisha ,Kandhamal,National Institute for Peoples Development Investigation and Training,nipdit28@gmail.com,"Nipdit, Lengar Sahi, College Road, Phulbaninear Govt, Autonomous College, Phulbani, Phulbani - 762001", 9437-112246 ,,Rama Chandra Dash
276, Odisha ,Mayurbhanj,Rural Organisation for Social Elevation,roseorg2009@gmail.com,"Raghunathpur, Raghunathpurnear Dargadhei Golei, Baripada - 757107", 9437-218266 ,Samarth,Chandan Das
277, Odisha ,Kendujhar,Sadbhabana,sadbhabanakeonjhar@gmail.com,"Naranpur, Naranpurprayas Special School,Near Weekly Hata Field,Naranpur, Kendujhar - 758014", 9337-646108 ,Gharaunda,Chandi Prasad Pattanaik
278, Odisha ,Khordha,Centre for Autism Therapy Counselling and Help (Catch),catch2003@gmail.com,"Plot No.-26, 26, Madhusudan Nagarunit-4, Bhubaneshwar, Khorda - 751001", 9937-004040 ,,Reeta Jena
279, Odisha ,Mayurbhanj,Manovikas Society for Differently Abled Children,manovikas_baripada@yahoo.com,"03, Betnarajabadi, Raikadjharan,Takatpur, Baripada - 757003", 8917-535964 ,,Sr Tesina
280, Odisha ,Angul,Shivanginee Institute Of Child Development,sicdodisha@gmail.com,"11, Lucky Type Chhaka, Hakimpadanear Govt. College, Angul - 759143", 8249-506323 ,,Sujata Chaulia
281, Odisha ,Khordha,"Institute Of Health Sciences, A Unit Of Margdarsi",snacodisha@gmail.com,"N2/41, Irc Villageirc Village,Nayapalli, Bhubneshwar, Bhubaneswar - 751015", 9437-005096 ,"Badhte Kadam,Vikaas,Samarth",Satyanarayan Mahapatra
282, Odisha ,Cuttack,The Hope,sanjaysazzan@gmail.com,"1802/3027, Mangalabagmedical Road, Cuttack - 753001", 9437-196408 ,Badhte Kadam Niramaya,Dr. Sanjay Kumar Sazzan
283, Odisha ,Jharsuguda,Ashakiran Charitable Society,kiranasha830@gmail.com,"019/999, Jharsugudadipu Pada, Jharsuguda - 768201", 9438-157469 ,,Sr. Kripa Poul
284, Odisha ,Ganjam,Ganjam District Orthopaedically Handicapped Welfare Association,samartha_gdohwa@yahoo.co.in,"110/15, Netaji Subash Marg (Near Sp Residence)Infront Of Bharat Petrol Pump, Chatrapur - 761020", 9437-049457 ,,K Ananda
285, Odisha ,Balangir,Association for Social Help In Rural Area,ashraorissa2007@rediffmail.com,"A73, Tusrajagannath Temple, Balangir - 767030", 9437-916866 ,"Sahyogi,Samarth,Gharaunda",Ranjit Prasad Mohanty
286, Odisha ,Sundargarh,Hope,dalvindersi@gmail.com,"Subash Bose Hospital, Rajgangpursubash Chowk, Rajgangpur - 770017", 9437-040576 ,,Dr. Dalvinder Singh Bhangu
287, Odisha ,Sonepur,Juba Jyoti Jubak Sangha,jubajyoti@gmail.com,"34, 37,, Saradeipur, Dhauli Square, Dist-Khurdaopposite To Gayatri Science College, Bhubaneswar - 751002", 9437-153132 ,,Chandeswar Jayasingh
288, Odisha ,Sundargarh,Shradha,shraddha.rkl@gmail.com,"C/317, Sector-16Near Community Centre, Sec-16, Rourkela - 769003", 9438-187899 ,,Kartik Chandra Pandab
289, Odisha ,Sonepur,Research Academy for Rural Enrichment (Rare),raresonepur@hotmail.com,"00, P.O.- Sonepur, Sonepur - 767017", 9937-618884 ,"Disha,Badhte Kadam,Vikaas,Disha,Sahyogi Niramaya",Mr. Ananga Negi
290, Odisha ,Balasore,The Welfare,blindschoolbalasore@gmail.com,"Ward -22, Ranipatna, P.O. /Dist. Balasoredaraji Pokhari Chhak, Balasore - 756001", 9437-156030 , Niramaya,Dibakar Saw
291, Odisha ,Khordha,Open Learning Systems,ceo@olsbbsr.org,"Plot No.G-3-A/1, Gadakana Mouzap.O. Mancheswar Railway Colony, Near Press Chhak, Bhubaneswar - 751017", 9437-071716 , Niramaya,Prakash Kumar Rath
292, Odisha ,Kendrapara,Punarbasa,punarbasa1@gmail.com,"At - Madhapur, Po - Kendrapara, Madhapur Roadnear Old Bus Stand, Kendrapara - 754211", 8917-366470 , Niramaya,Banasmita Nayak
293, Odisha ,Nayagarh,Society for Environmental Development and Voluntary Action,sevaorga@gmail.com,"147, Old Townnear New Bus Stannd, Nayagarh - 752070", 9437-827981 ,,Amarendra Kumar Das Parija
294, Odisha ,Koraput,Ekta,ektan@rediffmail.com,"28/143, Durugudapadmapur, Dumuriput, Koraput - 764021", 9437-233542 ,,Jagannath Mishra
295, Odisha ,Sundargarh,Regional Rehabilitation and Research Center,rrrcodisha@gmail.com,"212/321, Panposh Roadnear Rgh, Rourkela - 769015", 9437-085434 ,"Vikaas,Disha,Badhte Kadam Niramaya",Rama Chandra Behera
296, Odisha ,Cuttack,Aastha Rehab Care Society,ashish_ashtha@rediffmail.com,"Nimoi Complex-1, Nimchouriorissa High Court, Cuttack - 753002", 9338-128085 , Niramaya,Ashish Kumar
297, Odisha ,Cuttack,Bharat Jyoti,bj_orissa@yahoo.com,"No House No., Jhanjirimangala, Telengabazarjhanjirimangala (S.B.I Building 2Nd Floor), Cuttack - 753009", 9937-191097 ,Sahyogi,Narayan Mohanty
298, Odisha ,Khordha,Social Welfare Organisation for Rural Development,swordorissa@gmail.com,"Plot No- 101-A, Kolathia, Khandagirinear Amri Hospital, Bhubaneswar - 751019", 9438-298984 ,Badhte Kadam Niramaya,Soubhagya Ranjan Bhuyan
299, Odisha ,Balasore,Sri Sri Jadimahal Youth Club,ssjyc@rediffmail.com,"250, Kantabaniakantabania, Balasore - 756049", 7682-893104 ,"Gharaunda,Sahyogi",Rashmiranjan Kar
300, Odisha ,Balasore,Motherteresa Seva Sangha,mtssodisha@gmail.com,"Dagara, Via-Pratappurpo-Dagara, Baliapal - 756083", 9437-674909 ,,Anirudha Patra
301, Odisha ,Cuttack,Aashraya,aashraya2012@rediffmail.com,"At- Manitiri, Po. Balichandrapurnear Lalitagiri Budhist Site, Cuttack - 754205", 9438-280205 , Niramaya,Jitendra Kumar Satapathy
302, Odisha ,Khordha,Vikash,vikashbbsr@gmail.com,"D-2/7, Industrial Estate, Rasulgarhnear Sambad Press, Bhubaneswar - 751010", 9439-366538 , Niramaya,Bibekananda Mishra
303, Odisha ,Cuttack,Indian Red Cross Society Odisha State Branch Sahaya,ircs.sahaya@gmail.com,"Blood Bank Campus, Mangalabagscb Medical College Hospital, Cuttack - 753007", 9338-111242 ,,Mrinalini Padhi
304, Odisha ,Balasore,The Welfare Society for the Disable Of Odisha,wsdojaleswar@gmail.com,"491/662, Jaleswar Nuabazar To Namponear Tareni Temple , By Pass Nh 60, Jaleswar - 756032", 7008-991937 ,,Kapileswar Mohanty
305, Odisha ,Ganjam,Manovikas Gemm Managed by All India Womens Conference,manovikaskendra@gmail.com,"17739, Neelakantha Nagar 1St Lane, Bijipurnear Santosima Temple, Berhampur - 760003", 9437-388399 ,,Sarbani Parhi
306, Puducherry ,Puducherry,Satya Special School,admin@satyaspecialschool.org,"6 7 8, Ecr Road (Near Shivaji Statue)Karuvadikuppam, Puducherry - 605008", 9345-454449 , Niramaya,Chitra Shah
307, Puducherry ,Puducherry,Sharon Society Of Pondicherry,sharonmohan.org@gmail.com,"390, Bharathiyar Street Ashok Nagar Lawspetnear Pondyorthoclinic, Lawspet - 605008", 9843-483718 ,Badhte Kadam,Mr G Mohan
308, Puducherry ,Puducherry,Integrated Rehabilitation and Development Centre,irdcsnacpdy@gmail.com,"7, Rajaganapathy Nagar, Kakayanthope, Veeranpatinam Via, Ariyankuppamarikanmedu Historical Place, Ariyankuppam - 605007", 9994-507100 ,"Badhte Kadam,Gharaunda",Mr. J. Stephen Raj
309, Punjab ,Hoshiarpur,Tek Chand Sud Charitable Trust,aatmsukh@yahoo.com,"00, Old Kank Mandiold Kanak Mandi Chowk Above Sbi, Hoshiarpur - 146001", 7009-983727 ,,Navdeep Sud
310, Punjab ,Ludhiana,Kaushalaya Kundan Progressive Medical Hospital Research Centre Registered Charitable Society,sahilhora@yahoo.com,"Baba Kundan Hospital, Rishi Nagaropp Bsnl Telephone Exchange, Ludhiana - 141001", 9417-348549 , Niramaya,Dr Swarn Lata
311, Punjab ,Hoshiarpur,Asha Deep Welfare Society,jssashakiran@gmail.com,"Vpo Jahan Khelan, Vuna Road, Hoshiarpur - 146110", 9417-251305 , Niramaya,Malkiat Singh Sond
312, Punjab ,Fatehgarh Sahib,Confederation for Challenged,cfcin@ymail.com,"**, Sraffan Bazar,Ward No. 3, (New Ward No 13), Bassi Pathana - 140412", 9876-120864 ,Vikaas,Manmohan Jargar
313, Punjab ,Jalandhar,Apaar Altering Perceptions Of Autism and Assisting In Rehabilitation,apaaremail@gmail.com,"719-C, Urban Estate, Phase-1 Jalandharpunjab Institute Of Medical Sciences, Jalandhar - 144022", 9056-392291 ,,Navneet Bhullar
314, Punjab ,Faridkot,Indian Red Cross Society Distt Branch,redcross_fdk@yahoo.co.in,"Red Cross Bhawan, Red Cross Bhawan,Sadiq Chownk, Sadiq Chownk - 151203", 9781-269311 ,,Deputy Commissioner Faridkot
315, Punjab ,Bathinda,Para Boccia Sports Welfare Society,jaspreetjassi12345@gmail.com,"69, Near Dharmshalavpo Ablu, Bathinda - 151201", 9803-454949 ,,Jaspreet Singh
316, Punjab ,Pathankot,Saint Francis Home (Regd.),st.francishomepkt@gmail.com,"61/3, P.O.Jandwaldalhousie Road Railway Station, Pathankot - 145001", 9417-220235 ,,Fr. Joseph Puthenpura
317, Punjab ,Rupnagar,Ambuja Manovikas Kendra Special School Unit Of Ambuja Cement Foundation,suresh.thakur@ambujacement.com,"Village Salora, Village Salorapost Office Pathredi Jatan, Ropar - 140108", 9876-632568 ,,Ms. Pearl Tiwari
318, Punjab ,Patiala,Autism India Today,presidentautismindiatoday@gmail.com,"5, Hargobind Nagarsarhind Road, Patiala - 147004", 9356-767367 , Niramaya,Harpreet Kaur Bedi
319, Punjab ,SAS Nagar,Universal Disabled Care Taker Social Welfare Society Regd.,caredisabled@gmail.com,"Prabh Aasra, Village Padialakurali, Kurali - 140103", 9815-103793 ,,S. Shamsher Singh
320, Punjab ,Hoshiarpur,Navchetna Society,navchetnasociety9@gmail.com,"B-136/11, Tulsi Nagargovernment College, Hoshiarpur - 146001", 9814-747308 ,"Vikaas,Disha,Badhte Kadam",Chandresh Kumar
321, Punjab ,Jalandhar,Chaanan Association for Mr Children,amarjitsinghanand@gmail.com,"432-L, Model Town, Jalandhar - 144003", 9417-006059 ,,Amarjit Singh Anand
322, Rajasthan ,Jaipur,Shri Narsingh Maharaj Punarvas & Shikshan Sansthan,snmspecialschool@gmail.com,"9/199, 9/199, Malviya Nagar, Jaipurnear Palika Market, Jaipur - 302017", 9414-058796 , Niramaya,Dr Surendra Kumar Meena
323, Rajasthan ,Ajmer,Rajasthan Mahila Kalyan Mandal,rmkm_ajm@yahoo.com,"Rajasthan Mahila Kalyan Mandal, Viswamitra Ashramvillage Chachiyawas,, Sikar Road - 305023", 9413-223809 ,"Disha,Prerna",Kshama R. Kaushik
324, Rajasthan ,Jodhpur,Marudhara Bal Shikshan Sansthan,mbsspiparcity@gmail.com,"10/20, Near Ratholai Nadipiparcity, Piparcity - 342601", 9460-956847 ,,Shyamlal
325, Rajasthan ,Kota,Shikhar Society for the Welfare Of Mentallty Handicapped,shikharschool@hotmail.com,"2-N-3, Dadabarinear Police Station, Kota - 324009", 9460-980778 ,"Disha,Badhte Kadam,Vikaas",Meenakshi Saxena
326, Rajasthan ,Dausa,Shiksha Sanchalan and Chikitsa Prasar Samitee,icn0787@gmail.com,"Indian Group Of Institution Campus, Baniyanaindian Group Of Institution, Baniyana Road, Dausa - 303303", 8058-555888 ,,Smt. Jyoti Sharma
327, Rajasthan ,Jaipur,Disha Rehabilitation Centre run by Disha Foundation,disha@dishafoundation.org,"Nirman Nagar C, T N Mishra Margnear Jda Park, Jaipur - 302019", 9251-000022 ,,Ms.Rainu Singh
328, Rajasthan ,Alwar,Pt.chhitarmal Lata Welfare Society,shivjyotikhairthal@yahoo.in,"0000, Behrojc/O Shiv Jyoti K.D. Manovikas School, Ward No 16, Dantla Road, Near New Anaj Mandi Boundary, Khairthal - 301404", 9252-093961 ,,Krishna Sharma
329, Rajasthan ,Pali,Swavlamban Foudation,vaibhav.behappy@gmail.com,"67, Adarsh Nagarnear Govt. School, Pali - 306401", 9929-853153 ,,Vaibhav Bhandari
330, Rajasthan ,Jaipur,Prayas Vocational Institute for Mentally Handicapped,prayasjaipur17@gmail.com,"J-5A,, Jhalana Institutional Areajhalana, Jaipur-4 - 302017", 9928-064097 ,,R.K.Mohla
331, Rajasthan ,Bharatpur,Mahila Bal Vikas Gramoudhyog Shiksha Samiti Bharatpur,luckyspecialschoolbharatpur@gmail.com,"330, New Pushp Vatika Colonyfathehpur Sikari Road, Bharatpur - 321001", 9783-604189 ,Gharaunda,Vinod Kumar
332, Rajasthan ,Tonk,Yogesh Shekshik Punarwas Avam Shodh Sansthan,yogesh_niwai90@rediffmail.com,"Block-03, Indira Colony Extension, Ward No.-20Near Shyam Mandir, Niwai - 304021", 9829-316028 ,,Sita Ram Swami
333, Rajasthan ,Udaipur,Prachya Shodh Peeth Samiti,sunitaprayas@yahoo.co.in,"30, Ac-I Roadbhupalpura, Udaipur - 313001", 9351-549074 , Niramaya,Sunita Bhandari
334, Rajasthan ,Jalore,Jagriti Jan Sewa Sansthan,jjssnagour@gmail.com,"101, Rajpurohit Hostel, Jodhpur Road, Jalore - 307029", 9950-855080 ,,Garima Gupta
335, Rajasthan ,Karauli,Kavya Siksha Evam Vikas Seva Sansthan,ksvssraj@gmail.com,"132 Kv, Gss Colony, Gss Colony, Karauli - 322241", 9413-431691 ,,Ramji Lal Sharma
336, Rajasthan ,Sri Ganganagar,Tapovan Manovikas Vidhaylya Samiti,tapovanmanovikas@rediffmail.com,"4 Ml, Suratgarh Roadnear Homeland City, Sri Ganganagar - 335001", 9461-076742 ,,Sumer Mal Borar
337, Rajasthan ,Sri Ganganagar,Jubin Spastic Home & Charitable Sansthan,jubintrust_seva@yahoo.com,"195-196 Sukharia Shopping Centre, Main Roadnear Sukharia Circle, Sri Ganganagar - 335001", 9414-089070 ,,Vinita Ahuja
338, Rajasthan ,Jaipur,Gurukul Spastic Society,gurukulspasticsociety@gmail.com,"13-A, Chanchal Vatika, Anand Vihar-A, Binjari Margdadi Ka Phatak, Jhotwara, Jaipur - 302012", 7073-677767 ,,Dr.Hari Ram Meena
