,S.No.,State,District,Organization Name,Email,Address,Phone No.,Schemes Enrolled,Authorized Person
215,216, Madhya Pradesh ,Bhopal,Nidaan Sewa Samiti,pmohandas63@gmail.com,"B-291, B-291, SHAHPURA, B-SECTOR,NEAR SADANA SURGICAL, BHOPAL - 462039   ", 9826934500 ,,Kala Mohan
216,217, Madhya Pradesh ,Ratlam,Bargarh Mahavir Yuvak Mandal Samiti,bmyms@rediffmail.com,"178/1, Ahrihaant colony AloteHP Petrol Pump, Ratlam - 457114   ", 9753768150 ,Vikaas,Yogendranarayan Mandaloi
217,218, Madhya Pradesh ,Rewa,Sneh Mand Buddhi Avam Mook Badhir School Unit Of Sneh Shikshan Avam Manav Seva Sansthan,snehshikshan@gmail.com,"H NO 885, GALI NO 2BEHIND KIRTI KRANTI PRESS, REWA - 486001   ", 9755412191 ,Disha,Ram Sewak Sahu
218,219, Madhya Pradesh ,Vidisha,Ummeed Shikshan Samiti,ummeedshikshansamity@gmail.com,"44 MIG INDRA COMPLEX, VIDISHAVIDISHA, VIDISHA - 464001   ", 9098719899 ,"Disha,Vikaas",Rekha Motwani
219,220, Madhya Pradesh ,Sagar,Jan Jagran Educational and Health Wealfare Society Sagar,mjkps2@gmail.com,"110, banda roadmakroniya, sagar - 470002   ", 9300071924 ,Disha,Satyam Singh
220,221, Madhya Pradesh ,Jabalpur,Moulana Azad Education Foundation,recordrk6@gmail.com,"12, HOUSING BORD MAHARAJPUR JABALPURADHARTAL, JABALPUR - 482004   ", 9425471236 ,"Vikaas,Gharaunda,Disha",Arti Raikwar
221,222, Madhya Pradesh ,Jabalpur,Viklang Seva Bharti,vsbmp123@rediffmail.com,"SARAI NO 1 POLICE LINE, OPPOSITE HIGH COURTADJACENT TO BSNL OFFICE, Jabalpur - 482001   ", 9425152222 ,,Mitali Banerji
222,223, Madhya Pradesh ,Betul,Maa Savasan Mahila Mandal,maa.betul@rediffmail.com,"145, Victor PhotoNear Kale Ki Chakki, Betul - 460001   ", 7869706872 ,"Gharaunda,Vikaas",Pratibha Uikey
223,224, Madhya Pradesh ,Bhopal,Digdarshika Institute Of Rehabilitation Research,dirr89@rediffmail.com,"10, Rohit Nagar Phase-1,, Rohit Grih  Nirman Samiti,Bawadiya Kalan,, Bhopal - 462039   ", 9425301177 ,"Vikaas,Disha Niramaya",Usha Upadhayaya
224,225, Madhya Pradesh ,Chhindwara,Ashakiran Punarvas Kendra run by Sanjeevani Service Society Narsinghpur,sssnbpl@gmail.com,"Shantigiri Ashram, Near Bhamodi PanchayathIklehra Post, Parasia, Parasia - 480449   ", 7024178833 ,,Thomas Varghese
225,226, Maharashtra ,Solapur,Jivhala Society for the Mentally Handicapped,jivhalasociety@gmail.com,"9, Jivhala Society for the Mentally Handicapped,Vasant vihar,  Old  Pune Naka, Solapur ( Maharastra ) - 413001   ", 9422457324 ,Samarth Niramaya,Mr. Annarao Bhimashankar Rajmane
226,227, Maharashtra ,Jalgaon,Utkarsh Matimand Vidyalay Jalgaon Unit Of Institute for Rural Development Social Services Jalgaon,irdss_jal@rediffmail.com,"28/29, Jivram Nagar,, Near Khote Nagar,Nr. N.H. - 6, Jalgaon - 425001   ", 9421514907 ,,Dr. Suresh Shamrao Patil
227,228, Maharashtra ,Mumbai Suburban,Sopan Samarpan Center Of Autism,snacmah@gmail.com,"1st Floor, BMC School Building, Natwar NagarRoad No.5, Jogeshwari(E),, Mumbai - 400060   ", 9702871969 ,"Disha,Vikaas,Badhte Kadam Niramaya",Shoba Srivastava
228,229, Maharashtra ,Kolhapur,Chetana Vikas Mandir - A Unit Of Chetana Apangamati Vikas Sanstha,chetanavikas@gmail.com,"Kushtadham,, Shenda ParkNear Govt.Medical College, Kolhapur - 416012   ", 9822682028 , Niramaya,Pawan D. Khebudkar
229,230, Maharashtra ,Mumbai Suburban,Punarvas Education Society,punarvasschool@gmail.com,"Plot No 312, S.V Road, Goregaon WestOpp Piramal Nagar, Next to Nana Nani Park, Mumbai Suburban - 400104   ", 9833927519 ,,Mrs.Savita Jawale
230,231, Maharashtra ,Thane,Snehalaya Charitable Trust,snehalaya2007@rediffmail.com,"22/5A, PAREIRA NAGAR CHS LTD., KHOPATBEHIND LIFELINE HOSPITAL, THANE - 400601   ", 9869547241 , Niramaya,Mrs. Olivia W. Dï¿½Souza
231,232, Maharashtra ,Latur,Umang Institute Of Autism and Multidisability Research Centre Latur run by Siddhivinayak Pratisthan,siddhi22305@gmial.com,"Umang Institute of Autism and Multidisability Reserach Centre, Barshi Road,Back Side of New Collector Office, Latur, LATUR - 413512   ", 9921696056 ,,Kiran Ramesh Utage
232,233, Maharashtra ,Parbhani,Mahatma Gandhi Seva Sangh,mahatmagandhisevasangh@gmail.com,"9, Rakhan, Jintur RoadViswa Corner, Parbhani - 431401   ", 9158715200 ,,Vijay Kanhekar
233,234, Maharashtra ,Washim,Adhar Niwasi Matimand Vidyalaya run by Jagruti Shetkari Bahuddeshiya Mitramand Kawatha,JAGRUTIKWATHA@GMAIL.COM,"AT. POST. KAWATHA, TQ. RISOD, RISOD - 444506   ", 9028735560 ,,Geeta Kishor Payghan
234,235, Maharashtra ,Pune,Saad - Support All Abled Differently,saad.pathpune@gmail.com,"Flat No 14, Pooja Apartment,, Pandurang ColonyErandawane , Pune, Pune - 411038   ", 9822028015 , Niramaya,Sunita Lele
235,236, Maharashtra ,Dhule,Kai. Bapuso N Z Marathe Vidhayak Sanstha Thalner Sanchalit Matimand Mula Mulinche Balgruh Shirpur,nzmarathevidhayaksanstha@gmail.com,"Sarve No. 21/1,22/1,, Shirpur Chopda Road,Near Water Park,, shirpur - 425405   ", 9921590146 ,,Mr. Ramesh Nimba Marathe
236,237, Maharashtra ,Amravati,Prayas Vishesh Shala run by Manovikas Special Children Education Society Amravati,umedamt@yahoo.com,"PRAYAS VISHESH SHALA, KRANTI COLONY ROAD,SATURNA MIDCNEAR DILHI PUBLIC SCHOOL, AMRAVATI - 444607   ", 9823688493 , Niramaya,Mr.Vinayak Kolbaji Kadu
237,238, Maharashtra ,Satara,Smt.p.c. Alwani School for M.R. Children A Unit Of Rivka Sahil Akshar Institute,rsakshar09@gmail.com,"401, Ganpati AliNear Telephone Office, Wai - 412803   ", 9763878738 ,Vikaas,Dr. Avinash Tapare
238,239, Maharashtra ,Satara,Param Prasad Charitable Society,ashagram@hotmail.com,"217//2B, Asha BhavanKodoli, Rahimatpur Road, Satara - 415004   ", 9421413314 , Niramaya,Fr.T.C.Thomas
239,240, Maharashtra ,Thane,Mba Foundation,lifecare.disabled@gmail.com,"Gods Abode, Plot No-23 A, Sector -17, AiroliNear Abhudaya Bank, Navi Mumbai - 400708   ", 9594100387 , Niramaya,Meenakshi B
240,241, Maharashtra ,Thane,"Swami Brahmanand Pratishthan, Centre for Special Children",shirishv12@gmail.com,"NAV-SHANTI, PLOT NO. 7, SECTOR 8A, DISHA SCHOOL MARG, ARTIST VILLAGENEAR KAIRALI HALL , CBD BELAPUR, NAVI MUMBAI - 400614   ", 9820670733 ,,Mrs. Shirish Vijay Poojary
241,242, Maharashtra ,Mumbai City,Jai Vakeel Foundation Research Centre.,snacmaharashtra@gmail.com,"Sewri Hill, Abhyudaya Nagar CHS, Kalachaowki, Sewri RoadNear Milan Industrial Estate, Sewri - 400033   ", 9321330311 ,Badhte Kadam,Ms. Archana Chandra
242,243, Maharashtra ,Mumbai City,Cerebral Palsy Association Of India,hhw.multiplehandicapped@gmail.com,"Windsor BMC Library Building, Windsor Lane, CST Road, Kalina, Santacruz (East),Opposite  JP Morgan, Mumbai - 400098   ", 9029882662 ,,Manjusha Singh
243,244, Maharashtra ,Nagpur,Rashtramata Bahu Uddeshiya Shikshan Mandals Running Special Schools for Person With Disability,ank2you@gmail.com,"S-1 KRISHNA REGENCY, SAMPRITI NAGARNEAR POWER GRID, NAGPUR - 440026   ", 7385114111 ,,Sanket Raj Kaspe
244,245, Maharashtra ,Raigad,Sumangal School for Mentally Challenged Children run by Suhit Jeevan Trust,suhitjeevantrust@gmail.com,"Suhit Jeevan Trust, Damodar Nagar,, Chinchpada, PenDr. Mahajans Hospital, Pen - 402107   ", 9892191918 ,,Dr. Surekha Patil
245,246, Maharashtra ,Kolhapur,Lt. Ganpatrao Gatade Special School run by Kagal Taluka Kala Krida Shaikshanik Sanskrutik Mandal,atulramchandrajoshi@gmail.com,"153, KOSHTI GALLISHRADDHA NIVAS, A WARD, KAGAL - 416216   ", 9822009596 ,,Atul Ramchandra Josh
246,247, Maharashtra ,Mumbai Suburban,Organization for Autistic Individuals,itsoai2012@gmail.com,"FLAT NO A 805 BY 806 MEGHDOOT BLDG, Lokhandwala Back RoadOpposite Jogging Track, Andheri West Mumbai - 400053   ", 9820180198 ,,Devopam Narendra Bajpai
247,248, Maharashtra ,Ahmednagar,Matimand Vikas Shikshan Mandal,matishala@rediffmail.com,"wadia park, Tilak RoadAhmednagar, Ahmednagar - 414001   ", 9850901709 ,,Dr.Ravindra Ramchandra Satalkar
248,249, Maharashtra ,Aurangabad,Vihang Vishesh Mulanchi Shala run by Savitribai Phule Mahila Ekatma Samaj Mandal,vihang611@gmail.com,"Gat No-44, Uma Gopal NagarNear Kamal Nayan Bajaj Hospital, Beed Bypass, Aurangabd - 431010   ", 9921750424 ,,Dr. Vitthal M. Kulkarni
249,250, Maharashtra ,Mumbai Suburban,Holistic Child Care Centre and Special School run by M.B. Barvalia Foundation,spandan.office@gmail.com,"Spandan Holistic mother and childcare hospital,, Near Deonar Fire Brigade, Municipal colonyNear Sai Baba Temple, Deonar,Govandi, Mumbai - 400043   ", 9324404197 ,"Disha,Disha,Gharaunda,Gharaunda,Gharaunda,Disha,Disha",Dr Praful Barvalia
250,251, Maharashtra ,Pune,Kamayani Prashikshan and Sanshodhan Society Kamayani School for the Mentally Handicapped Pune,kamayaniudyogkendrapune16@gmail.com,"270 / B Gokhalenagar Pune, Balshatri Jambhekar RoadNear Patrakar Nagar Society Opp Baramati Hostel, Pune - 411016   ", 2025651588 ,,Dr Ashutosh Bhupatkar
251,252, Maharashtra ,Thane,Association Of Parents Of Mentally Retarded Children,vishwasgore1960@hotmail.com,"5A/14, Pareira Nagar, Khopat, Agra RoadBehind Central Bus Stand, Thane, Thane - 400601   ", 9821054369 ,,Mr. Vishwas M. Gore
252,253, Maharashtra ,Osmanabad,"Tuljai Pratishthan Bahuuddeshiya Sansta Pangaon, Sanchalit Swaadhar Matimand Mulinche Balgruh ,Osman",chavansn5@gmail.com,"TULJAI PRATISHTHAN, SWADHAR HOME FOR MENTALLY CHALLENGED GIRLSAIR PORT ROAD NEAR GAPAT FARM ALANI TQ DIST OSMANABAD, OSMANABAD - 413501   ", 9423767524 ,,Shahaji Narayan Chavan
253,254, Maharashtra ,Nagpur,Jeevoday Special School for Mentally Retarded A Unit Of Jeevoday Education Society,jeevodaynagpur@ymail.com,"25/B, Residancy roadSFS school, Nagpur - 440001   ", 9890279110 , Niramaya,Sr Josna Mary
254,255, Maharashtra ,Dhule,"Shri Sanskar Matimand Mulinche Balgruh (Yamunai Shaikshanik V Sanskrutik Mahila Mandal,Dhule)",yamunaidhule@gmail.com,"Gat No 9, Sakri RoadBalaji Nagar,  Morane Pra La,, Dhule - 424001   ", 8698608777 ,,Mangalabai Sunil Wagh
255,256, Maharashtra ,Satara,Ehsaas Matimand Mulanche Balgruh run by Chandrakant Bhanji Chande Memorial Trust,ehsaasmrchild@rediffmail.com,"At/P Valse Tal/dist Satara, NH4 Mega HighwayNear Ajinkyatara Sugar Factory, Shendre, Satara - 415519   ", 9823773901 , Niramaya,Siddharth Arvind Thakkar
256,257, Maharashtra ,Pune,Umed Pariwar,info@umedpariwar.org,"GAT NO. 949, HADAPSAR SASWAD ROADKANIFNATH PAYTHA, WADKI, WADKI VILLAGE - 412308   ", 9890092958 ,,Purushottam Gopilal Sharma
257,258, Maharashtra ,Mumbai Suburban,Parivaar Sahyadri the Apex Council Of Parents Of Persons With Intellectual and Developmental Disabilities,parivaarsahyadri@gmail.com,"A 301 SHIVASHISH, S V ROAD   ANDHERI WESTOPP SHOPPERS STOP, MUMBAI - 400058   ", 9920447481 , Niramaya,Prakash Bhalgat
258,259, Maharashtra ,Nashik,"National Association for the Blind, Unit Maharashtra",nabdeafblind.86@rediffmail.com,"National Association for the Blind, Unit Maharashtra, NAB Sankul, Plot No. P-66,Lane No.3, Street A, MIDC, Satpur, Nashik - 422007   ", 8975725562 , Niramaya,Mr. Rameshwar Kalantri
259,260, Maharashtra ,Ratnagiri,Aavishkar Society for Dev Of Mentally Handicaped Children,aavishkar.ratnagiri@gmail.com,"E-95, M.I.D.C.Mirjole, Ratnagiri - 415639   ", 9422430893 ,,Shri. Bipin Rasikalal Shaha
260,261, Maharashtra ,Latur,Sanvedana Cerebral Palsy Vikasan Kendra run by Rss Janakalyan Samiti,sanvedana.cpvkl@gmail.com,"Sanvedana Cerebral Palsy Vikasan Kendra, Lakshmi Nagar, Barad VastiHarangul BK TQ.DIST Latur, Latur - 413531   ", 9422072517 ,Gharaunda Niramaya,Mr Suresh Manoharrao Patil
261,262, Maharashtra ,Thane,Astitva Matimand Mulanchi Shala run by Astitva Prahladrai Kagazi Institute for Hanidcapped,astitvatrust81@gmail.com,"PLOT NO8  PHASE 1, MIDCNEAR LIC OFFICE, DOMBIVLI - 421203   ", 9820043631 ,,Radhika Milind Gupte
262,263, Maharashtra ,Latur,Shri Gajanan Bahuddeshiy Sanstha Bori Sanchalit . Sant Gadgebaba Anath Matimand Mulanche Balgruha,sgbammblatur@gmail.com,"SANT GADGEBABA ANATH MATIMAND MULANCHE BALGRUHA, LATUR, IN FRONT OF AVISHKAR SOCIETY, BABHALGAON ROADNEAR KAZI PETROL PUMP, LATUR - 413512   ", 9422342731 ,,Shila Annasaheb Kadam
263,264, Maharashtra ,Ahmednagar,Matimand Mulanche Balgruha run by Navoday Gramin Nagari Vikas Prati. and Sancrutik Mandal Pathardi,navodaypathardi@gmail.com,"Survey No. 104/3 and 104/4, Mohari RoadNear Stone Crusher, Pathardi - 414102   ", 9850652929 ,,Smt. Anita Ashok Nirhali
264,265, Manipur ,Imphal West,Handicapped Development Foundation,hdfoundationmanipur@gmail.com,"57, Sagolband Tera Pukhri MapalImphal West, Imphal - 795001   ", 9612157246 ,Disha Niramaya,Dr. Sapam Jasowanta Singh
265,266, Manipur ,Imphal West,Relief Centre for the Welfare Of Differently Abled Persons Manipur,reliefcentremanipur@gmail.com,"32, Singjamei Chingamathak PishumNear  Hao Ground, IMPHAL - 795008   ", 9862275037 ,Badhte Kadam,Ch Lokeshori Devi
266,267, Manipur ,Churachandpur,The Malsawm Initiative run by Centre for Community Initiative,pauzagin@communityinitiative.in,"Nehru Marg, Central LamkaOpp Chingkangpa Avenue, Churachandpur - 795128   ", 9612153082 ,Disha,Mr Pauzagin Tonsing
267,268, Manipur ,Imphal East,Bliss Island School run by People Advanced In Social Services (Pass),pass.imp@rediffmail.com,"2nd street, Phaikhothang Village, Near Khuga Dam,Saikot Sub Division, Churachandpur, Churachandpur - 795006   ", 9862133392 ,"Badhte Kadam,Samarth,Disha,Gharaunda Niramaya",Henthianlun
268,269, Meghalaya ,East Khasi Hills,Bethany Society,bethanyngo1981@gmail.com,"BETHANY SOCIETY, LADY VERONICA LANE LAITUMKHRAHOPPOSITE BANSARA EYE CARE, SHILLONG - 793003   ", 9436119808 ,Disha Niramaya,Carmo Noronha
269,270, Odisha ,Khordha,Dr. Braja Vihari Mohanty Memorial Mentally Retarded Benefit Trust,jagrutibbsr@gmail.com,"Plot No 430 part, , Santinagar, Jharapara,Near Ganesh Mandir, Orissa - 751006   ", 9437075921 ,Gharaunda,Baikuntha Bihari Mohanty
270,271, Odisha ,Puri,Pingalakhi Public Welfare Organisation,pingalakhi@gmail.com,"AT-JAYASHREE SQUARE, PO-NIMAPARANEAR BANK OF INDIA, NIMAPARA - 752106   ", 9438090331 , Niramaya,Rajkishor Sabut
271,272, Odisha ,Puri,Nilachal Seva Pratisthan,nspodisha@gmail.com,"Benagaon, Dayavihar, KanasBesides River Daya, KANAS - 752017   ", 9438018582 ,"Gharaunda,Samarth",Subas Chandra Gajendra
272,273, Odisha ,Dhenkanal,Participatory and Reconstruction Institute Action,priajaj@gmail.com,"AT/PO-LAULAI,VIA-GONDIA, Laulai  GONDIANEAR TANK, Dhenkanal - 759016   ", 9937300982 , Niramaya,Tankadhar Barik
273,274, Odisha ,Bhadrak,Centre for Rehabilitation Services Research Crsr,crsrodisha@gmail.com,"PRASANTI BHAWAN, Dahanigadia, Po: CharampaBack side of Old Dalda Factory, Bhadrak - 756101   ", 9692165555 ,"Samarth,Gharaunda,Vikaas,Sahyogi,Badhte Kadam",Er. Bhagaban Parida
274,275, Odisha ,Kandhamal,National Institute for Peoples Development Investigation and Training,nipdit28@gmail.com,"NIPDIT, Lengar Sahi, College Road, PhulbaniNear Govt, Autonomous College, Phulbani, Phulbani - 762001   ", 9437112246 ,,Rama Chandra Dash
275,276, Odisha ,Mayurbhanj,Rural Organisation for Social Elevation,roseorg2009@gmail.com,"RAGHUNATHPUR, RAGHUNATHPURNEAR DARGADHEI GOLEI, BARIPADA - 757107   ", 9437218266 ,Samarth,Chandan Das
276,277, Odisha ,Kendujhar,Sadbhabana,sadbhabanakeonjhar@gmail.com,"Naranpur, NaranpurPrayas Special school,Near  Weekly Hata Field,Naranpur, kendujhar - 758014   ", 9337646108 ,Gharaunda,Chandi Prasad Pattanaik
277,278, Odisha ,Khordha,Centre for Autism Therapy Counselling and Help (Catch),catch2003@gmail.com,"plot no.-26, 26, Madhusudan NagarUnit-4, Bhubaneshwar, Khorda - 751001   ", 9937004040 ,,Reeta Jena
278,279, Odisha ,Mayurbhanj,Manovikas Society for Differently Abled Children,manovikas_baripada@yahoo.com,"03, BETNARAJABADI, RAIKADJHARAN,TAKATPUR, BARIPADA - 757003   ", 8917535964 ,,Sr Tesina
279,280, Odisha ,Angul,Shivanginee Institute Of Child Development,sicdodisha@gmail.com,"11, LUCKY TYPE CHHAKA, HAKIMPADANEAR GOVT. COLLEGE, ANGUL - 759143   ", 8249506323 ,,Sujata Chaulia
280,281, Odisha ,Khordha,"Institute Of Health Sciences, A Unit Of Margdarsi",snacodisha@gmail.com,"N2/41, IRC VILLAGEIRC Village,Nayapalli, Bhubneshwar, Bhubaneswar - 751015   ", 9437005096 ,"Badhte Kadam,Vikaas,Samarth",Satyanarayan Mahapatra
281,282, Odisha ,Cuttack,The Hope,sanjaysazzan@gmail.com,"1802/3027, MANGALABAGMEDICAL ROAD, Cuttack - 753001   ", 9437196408 ,Badhte Kadam Niramaya,Dr. Sanjay Kumar Sazzan
282,283, Odisha ,Jharsuguda,Ashakiran Charitable Society,kiranasha830@gmail.com,"019/999, JHARSUGUDADIPU PADA, JHARSUGUDA - 768201   ", 9438157469 ,,Sr. Kripa Poul
283,284, Odisha ,Ganjam,Ganjam District Orthopaedically Handicapped Welfare Association,samartha_gdohwa@yahoo.co.in,"110/15, Netaji Subash Marg (Near SP Residence)Infront of Bharat Petrol Pump, Chatrapur - 761020   ", 9437049457 ,,K Ananda
284,285, Odisha ,Balangir,Association for Social Help In Rural Area,ashraorissa2007@rediffmail.com,"A73, TusraJagannath Temple, Balangir - 767030   ", 9437916866 ,"Sahyogi,Samarth,Gharaunda",Ranjit Prasad Mohanty
285,286, Odisha ,Sundargarh,Hope,dalvindersi@gmail.com,"Subash Bose Hospital, RajgangpurSubash Chowk, Rajgangpur - 770017   ", 9437040576 ,,Dr. Dalvinder Singh Bhangu
286,287, Odisha ,Sonepur,Juba Jyoti Jubak Sangha,jubajyoti@gmail.com,"34, 37,, Saradeipur, Dhauli Square, Dist-KhurdaOpposite to Gayatri Science College, Bhubaneswar - 751002   ", 9437153132 ,,Chandeswar Jayasingh
287,288, Odisha ,Sundargarh,Shradha,shraddha.rkl@gmail.com,"C/317, Sector-16Near Community Centre, Sec-16, Rourkela - 769003   ", 9438187899 ,,Kartik Chandra Pandab
288,289, Odisha ,Sonepur,Research Academy for Rural Enrichment (Rare),raresonepur@hotmail.com,"00, P.O.- Sonepur, Sonepur - 767017   ", 9937618884 ,"Disha,Badhte Kadam,Vikaas,Disha,Sahyogi Niramaya",Mr. Ananga Negi
289,290, Odisha ,Balasore,The Welfare,blindschoolbalasore@gmail.com,"WARD -22, Ranipatna, P.O. /Dist. BalasoreDaraji pokhari chhak, BALASORE - 756001   ", 9437156030 , Niramaya,Dibakar Saw
290,291, Odisha ,Khordha,Open Learning Systems,ceo@olsbbsr.org,"Plot No.G-3-A/1, Gadakana MouzaP.O. Mancheswar Railway Colony, Near Press Chhak, Bhubaneswar - 751017   ", 9437071716 , Niramaya,Prakash Kumar Rath
291,292, Odisha ,Kendrapara,Punarbasa,punarbasa1@gmail.com,"At - Madhapur, Po - Kendrapara, Madhapur RoadNear Old Bus Stand, Kendrapara - 754211   ", 8917366470 , Niramaya,Banasmita Nayak
292,293, Odisha ,Nayagarh,Society for Environmental Development and Voluntary Action,sevaorga@gmail.com,"147, Old TownNear New Bus Stannd, Nayagarh - 752070   ", 9437827981 ,,Amarendra Kumar Das Parija
293,294, Odisha ,Koraput,Ekta,ektan@rediffmail.com,"28/143, DurugudaPadmapur, Dumuriput, Koraput - 764021   ", 9437233542 ,,Jagannath Mishra
294,295, Odisha ,Sundargarh,Regional Rehabilitation and Research Center,rrrcodisha@gmail.com,"212/321, Panposh RoadNear RGH, Rourkela - 769015   ", 9437085434 ,"Vikaas,Disha,Badhte Kadam Niramaya",Rama Chandra Behera
295,296, Odisha ,Cuttack,Aastha Rehab Care Society,ashish_ashtha@rediffmail.com,"NIMOI COMPLEX-1, NIMCHOURIORISSA HIGH COURT, CUTTACK - 753002   ", 9338128085 , Niramaya,Ashish Kumar
296,297, Odisha ,Cuttack,Bharat Jyoti,bj_orissa@yahoo.com,"No house no., Jhanjirimangala, TelengabazarJhanjirimangala (S.B.I Building 2nd floor), Cuttack - 753009   ", 9937191097 ,Sahyogi,Narayan Mohanty
297,298, Odisha ,Khordha,Social Welfare Organisation for Rural Development,swordorissa@gmail.com,"Plot No- 101-A, Kolathia, KhandagiriNear AMRI Hospital, Bhubaneswar - 751019   ", 9438298984 ,Badhte Kadam Niramaya,Soubhagya Ranjan Bhuyan
298,299, Odisha ,Balasore,Sri Sri Jadimahal Youth Club,ssjyc@rediffmail.com,"250, KANTABANIAKANTABANIA, BALASORE - 756049   ", 7682893104 ,"Gharaunda,Sahyogi",Rashmiranjan Kar
299,300, Odisha ,Balasore,Motherteresa Seva Sangha,mtssodisha@gmail.com,"DAGARA, VIA-PRATAPPURPO-DAGARA, BALIAPAL - 756083   ", 9437674909 ,,Anirudha Patra
300,301, Odisha ,Cuttack,Aashraya,aashraya2012@rediffmail.com,"AT- Manitiri, PO. BalichandrapurNear Lalitagiri Budhist site, Cuttack - 754205   ", 9438280205 , Niramaya,Jitendra Kumar Satapathy
301,302, Odisha ,Khordha,Vikash,vikashbbsr@gmail.com,"D-2/7, Industrial Estate, RasulgarhNear Sambad Press, Bhubaneswar - 751010   ", 9439366538 , Niramaya,Bibekananda Mishra
302,303, Odisha ,Cuttack,Indian Red Cross Society Odisha State Branch Sahaya,ircs.sahaya@gmail.com,"Blood Bank Campus, MangalabagSCB Medical College  Hospital, Cuttack - 753007   ", 9338111242 ,,Mrinalini Padhi
303,304, Odisha ,Balasore,The Welfare Society for the Disable Of Odisha,wsdojaleswar@gmail.com,"491/662, Jaleswar Nuabazar to NampoNear Tareni Temple , By pass NH 60, Jaleswar - 756032   ", 7008991937 ,,Kapileswar Mohanty
304,305, Odisha ,Ganjam,Manovikas Gemm Managed by All India Womens Conference,manovikaskendra@gmail.com,"17739, NEELAKANTHA NAGAR 1ST LANE, BIJIPURNEAR SANTOSIMA TEMPLE, BERHAMPUR - 760003   ", 9437388399 ,,Sarbani Parhi
305,306, Puducherry ,Puducherry,Satya Special School,admin@satyaspecialschool.org,"6 7  8, ECR Road (near shivaji statue)Karuvadikuppam, Puducherry - 605008   ", 9345454449 , Niramaya,Chitra Shah
306,307, Puducherry ,Puducherry,Sharon Society Of Pondicherry,sharonmohan.org@gmail.com,"390, Bharathiyar Street Ashok Nagar LawspetNear PondyOrthoClinic, Lawspet - 605008   ", 9843483718 ,Badhte Kadam,Mr G Mohan
307,308, Puducherry ,Puducherry,Integrated Rehabilitation and Development Centre,irdcsnacpdy@gmail.com,"7, Rajaganapathy Nagar, Kakayanthope, Veeranpatinam via, AriyankuppamArikanmedu Historical Place, Ariyankuppam - 605007   ", 9994507100 ,"Badhte Kadam,Gharaunda",Mr. J. Stephen Raj
308,309, Punjab ,Hoshiarpur,Tek Chand Sud Charitable Trust,aatmsukh@yahoo.com,"00, Old Kank MandiOld Kanak Mandi Chowk Above SBI, Hoshiarpur - 146001   ", 7009983727 ,,Navdeep Sud
309,310, Punjab ,Ludhiana,Kaushalaya Kundan Progressive Medical Hospital Research Centre Registered Charitable Society,sahilhora@yahoo.com,"BABA KUNDAN HOSPITAL, RISHI NAGAROPP BSNL TELEPHONE EXCHANGE, LUDHIANA - 141001   ", 9417348549 , Niramaya,Dr Swarn Lata
310,311, Punjab ,Hoshiarpur,Asha Deep Welfare Society,jssashakiran@gmail.com,"VPO Jahan Khelan, VUNA Road, Hoshiarpur - 146110   ", 9417251305 , Niramaya,Malkiat Singh Sond
311,312, Punjab ,Fatehgarh Sahib,Confederation for Challenged,cfcin@ymail.com,"**, Sraffan Bazar,Ward No. 3, (New ward no 13), Bassi Pathana - 140412   ", 9876120864 ,Vikaas,Manmohan Jargar
312,313, Punjab ,Jalandhar,Apaar Altering Perceptions Of Autism and Assisting In Rehabilitation,apaaremail@gmail.com,"719-C, Urban Estate, Phase-1 jalandharpunjab institute of medical sciences, Jalandhar - 144022   ", 9056392291 ,,Navneet Bhullar
313,314, Punjab ,Faridkot,Indian Red Cross Society Distt Branch,redcross_fdk@yahoo.co.in,"Red Cross Bhawan, Red Cross Bhawan,Sadiq Chownk, Sadiq Chownk - 151203   ", 9781269311 ,,Deputy Commissioner Faridkot
314,315, Punjab ,Bathinda,Para Boccia Sports Welfare Society,jaspreetjassi12345@gmail.com,"69, Near DharmshalaVPO ABLU, Bathinda - 151201   ", 9803454949 ,,Jaspreet Singh
315,316, Punjab ,Pathankot,Saint Francis Home (Regd.),st.francishomepkt@gmail.com,"61/3, P.O.JandwalDalhousie Road Railway Station, Pathankot - 145001   ", 9417220235 ,,Fr. Joseph Puthenpura
316,317, Punjab ,Rupnagar,Ambuja Manovikas Kendra Special School Unit Of Ambuja Cement Foundation,suresh.thakur@ambujacement.com,"Village Salora, Village SaloraPost Office Pathredi Jatan, Ropar - 140108   ", 9876632568 ,,Ms. Pearl Tiwari
317,318, Punjab ,Patiala,Autism India Today,presidentautismindiatoday@gmail.com,"5, Hargobind NagarSarhind Road, Patiala - 147004   ", 9356767367 , Niramaya,Harpreet Kaur Bedi
318,319, Punjab ,SAS Nagar,Universal Disabled Care Taker Social Welfare Society Regd.,caredisabled@gmail.com,"Prabh Aasra, Village PadialaKurali, Kurali - 140103   ", 9815103793 ,,S. Shamsher Singh
319,320, Punjab ,Hoshiarpur,Navchetna Society,navchetnasociety9@gmail.com,"B-136/11, Tulsi NagarGovernment College, Hoshiarpur - 146001   ", 9814747308 ,"Vikaas,Disha,Badhte Kadam",Chandresh Kumar
320,321, Punjab ,Jalandhar,Chaanan Association for Mr Children,AMARJITSINGHANAND@GMAIL.COM,"432-L, MODEL TOWN, JALANDHAR - 144003   ", 9417006059 ,,Amarjit Singh Anand
